SampleLabel,SampleType,CarbonationState,Condition,ClLevel_wtPct_NaCl,ClLevel_wtPct_Cl_by_cement,Repeat,E_corr_V_vs_SCE,i_corr_uA_per_cm2,beta_a_V_per_dec,beta_c_V_per_dec,ConditionTime_or_RH
7N,Mortar,Non-carbonated,RH65,0,0,1,-0.054,0.015,0.472,-0.135,RH65
7N,Mortar,Non-carbonated,RH65,0,0,2,-0.053,0.014,0.312,-0.138,RH65
7N,Mortar,Non-carbonated,RH65,0,0,3,-0.057,0.017,0.334,-0.139,RH65
7N,Mortar,Non-carbonated,RH65,0.5,0.21,1,-0.079,0.017,0.333,-0.127,RH65
7N,Mortar,Non-carbonated,RH65,0.5,0.21,2,-0.06,0.012,0.333,-0.126,RH65
7N,Mortar,Non-carbonated,RH65,0.5,0.21,3,-0.065,0.018,0.382,-0.119,RH65
7N,Mortar,Non-carbonated,RH65,1,0.43,1,-0.077,0.04,0.6,-0.155,RH65
7N,Mortar,Non-carbonated,RH65,1,0.43,2,-0.095,0.025,0.339,-0.137,RH65
7N,Mortar,Non-carbonated,RH65,1,0.43,3,-0.09,0.034,0.484,-0.139,RH65
7N,Mortar,Non-carbonated,RH65,2,0.87,1,-0.128,0.052,0.559,-0.156,RH65
7N,Mortar,Non-carbonated,RH65,2,0.87,2,-0.13,0.071,0.675,-0.161,RH65
7N,Mortar,Non-carbonated,RH65,2,0.87,3,-0.136,0.052,0.604,-0.164,RH65
7N,Mortar,Non-carbonated,RH65,3,1.31,1,-0.151,0.113,0.504,-0.176,RH65
7N,Mortar,Non-carbonated,RH65,3,1.31,2,-0.153,0.134,0.467,-0.198,RH65
7N,Mortar,Non-carbonated,RH65,3,1.31,3,-0.178,0.114,0.402,-0.183,RH65
7N,Mortar,Non-carbonated,RH65,5,2.24,1,-0.213,0.679,0.986,-0.294,RH65
7N,Mortar,Non-carbonated,RH65,5,2.24,2,-0.206,0.562,0.868,-0.309,RH65
7N,Mortar,Non-carbonated,RH65,5,2.24,3,-0.22,0.492,0.857,-0.278,RH65
7N,Mortar,Non-carbonated,RH85,0,0,1,-0.061,0.017,0.253,-0.127,RH85
7N,Mortar,Non-carbonated,RH85,0,0,2,-0.032,0.022,0.231,-0.135,RH85
7N,Mortar,Non-carbonated,RH85,0,0,3,-0.032,0.022,0.245,-0.147,RH85
7N,Mortar,Non-carbonated,RH85,0.5,0.21,1,-0.13,0.047,0.408,-0.13,RH85
7N,Mortar,Non-carbonated,RH85,0.5,0.21,2,-0.082,0.022,0.277,-0.124,RH85
7N,Mortar,Non-carbonated,RH85,0.5,0.21,3,-0.12,0.069,0.463,-0.123,RH85
7N,Mortar,Non-carbonated,RH85,1,0.43,1,-0.181,0.306,0.795,-0.18,RH85
7N,Mortar,Non-carbonated,RH85,1,0.43,2,-0.176,0.217,0.491,-0.18,RH85
7N,Mortar,Non-carbonated,RH85,1,0.43,3,-0.181,0.232,0.765,-0.163,RH85
7N,Mortar,Non-carbonated,RH85,2,0.87,1,-0.239,0.427,0.708,-0.209,RH85
7N,Mortar,Non-carbonated,RH85,2,0.87,2,-0.208,0.273,0.453,-0.168,RH85
7N,Mortar,Non-carbonated,RH85,2,0.87,3,-0.249,0.302,0.409,-0.155,RH85
7N,Mortar,Non-carbonated,RH85,3,1.31,1,-0.281,1.047,0.597,-0.238,RH85
7N,Mortar,Non-carbonated,RH85,3,1.31,2,-0.263,0.997,0.616,-0.247,RH85
7N,Mortar,Non-carbonated,RH85,3,1.31,3,-0.306,1.1,0.644,-0.235,RH85
7N,Mortar,Non-carbonated,RH85,5,2.24,1,-0.333,3.319,0.628,-0.241,RH85
7N,Mortar,Non-carbonated,RH85,5,2.24,2,-0.356,3.084,0.603,-0.229,RH85
7N,Mortar,Non-carbonated,RH85,5,2.24,3,-0.338,2.551,0.603,-0.23,RH85
7N,Mortar,Non-carbonated,RH95,0,0,1,-0.099,0.029,0.333,-0.113,RH95
